School,Adjacent 1,Distance to Adjacent 1,Adjacent 2,Distance to Adjacent 2,Adjacent 3,Distance to Adjacent 3,Adjacent 4,Distance to Adjacent 4,Adjacent 5,Distance to Adjacent 5,Average Distance to 3 Closest Schools,Crosses Feeder Patterns,Distance to Schools in Feeder Pattern
Kingsley,Foster,0.6,Orrington,1.3,Lincolnwood,0.8,Dewey,1.2,Willard,1.4,0.87,n,1.03
Dewey,Washington,0.9,King Arts,0.9,Foster,0.8,Lincoln,1.5,,,0.87,y,1.20
Lincolnwood,Kingsley,0.8,Willard,0.8,Foster,1.1,Walker,1.3,Orrington,1.8,0.90,n,1.13
Washington,Dewey,0.9,Oakton,1,Dawes,1,Lincoln,1,King Arts,1.5,0.97,y,0.95
Oakton,Dawes,0.8,Washington,1,Lincoln,1.3,Walker,3.3,,,1.03,y,2.05
Dawes,Oakton,0.8,Washington,1,Walker,2.6,King Arts,1.7,,,1.17,y,1.70
Willard,Lincolnwood,0.8,Walker,1.5,Foster,1.9,Kingsley,1.4,Orrington,2.1,1.23,y,1.55
King Arts,Dewey,0.9,Foster,1.3,Washington,1.5,,,,,1.23,y,
Lincoln,Oakton,1.3,Washington,1,Dewey,1.5,,,,,1.27,y,1.25
Walker,Willard,1.5,Dawes,2.6,Lincolnwood,1.3,Dewey,1.6,Oakton,3.3,1.47,y,2.95
Orrington,Kingsley,1.3,Lincolnwood,1.8,Foster,1.5,Willard,2.1,,,1.73,n,1.68